seed_base,v_label,run_id,proxy_clear_rate,proxy_damage_per_min,proxy_survival_time,proxy_input_density,q_a,q_intro,q_success_fb,q_d,q_c,q_e
3000000,v002,3000022,0,6.4655,9.28,19.3966,5,4.5,3,4.5,4.5,5
3000000,v003,3000022,0,6.4655,9.28,19.3966,5,4.5,3,4.5,4.5,5
3000000,v001,3000023,0,2.0848,28.78,20.8478,5,4,3,3.5,,5
3000000,v002,3000023,0,2.0848,28.78,20.8478,5,4.5,3,4.5,4.5,5
3000000,v003,3000023,0,2.0848,28.78,20.8478,5,4.5,3,4.5,4.5,5
3000000,v001,3000024,0,2.2413,26.77,20.1718,5,4,3,3.5,,5
3000000,v002,3000024,0,2.2413,26.77,20.1718,5,4.5,3,4.5,4.5,5
3000000,v003,3000024,0,2.2413,26.77,20.1718,5,4.5,3,4.5,4.5,5
3000000,v001,3000025,0,2.1429,28,21.4286,5,4,3,3.5,,5
3000000,v002,3000025,0,2.1429,28,21.4286,5,4.5,3,4.5,4.5,5
3000000,v003,3000025,0,2.1429,28,21.4286,5,4.5,3,4.5,4.5,5
3000000,v001,3000026,0,2.3715,25.3,21.3439,5,4,3,3.5,,5
3000000,v002,3000026,0,2.3715,25.3,21.3439,5,4.5,3,4.5,4.5,5
3000000,v003,3000026,0,2.3715,25.3,21.3439,5,4.5,3,4.5,4.5,5
3000000,v001,3000027,0,2.1598,27.78,19.4384,5,4,3,3.5,,5
3000000,v002,3000027,0,2.1598,27.78,19.4384,5,4.5,3,4.5,4.5,5
3000000,v003,3000027,0,2.1598,27.78,19.4384,5,4.5,3,4.5,4.5,5
3000000,v001,3000028,0,2.1882,27.42,19.6937,5,4,3,3.5,,5
3000000,v002,3000028,0,2.1882,27.42,19.6937,5,4.5,3,4.5,4.5,5
3000000,v003,3000028,0,2.1882,27.42,19.6937,5,4.5,3,4.5,4.5,5
3000000,v001,3000029,0,1.3021,46.08,20.8333,5,4,3,3.5,,5
3000000,v002,3000029,0,1.3021,46.08,20.8333,5,4.5,3,4.5,4.5,5
3000000,v003,3000029,0,1.3021,46.08,20.8333,5,4.5,3,4.5,4.5,5
4000000,v001,4000000,0,6.5076,9.22,19.5228,5,4,3,3.5,,5
4000000,v002,4000000,0,6.5076,9.22,19.5228,5,4.5,3,4.5,4.5,5
4000000,v003,4000000,0,6.5076,9.22,19.5228,5,4.5,3,4.5,4.5,5
4000000,v001,4000001,0,6.263,9.58,18.7891,5,4,3,3.5,,5
4000000,v002,4000001,0,6.263,9.58,18.7891,5,4.5,3,4.5,4.5,5
4000000,v003,4000001,0,6.263,9.58,18.7891,5,4.5,3,4.5,4.5,5
4000000,v001,4000002,0,2.1779,27.55,19.6007,5,4,3,3.5,,5
4000000,v002,4000002,0,2.1779,27.55,19.6007,5,4.5,3,4.5,4.5,5
4000000,v003,4000002,0,2.1779,27.55,19.6007,5,4.5,3,4.5,4.5,5
4000000,v001,4000003,0,1.3172,45.55,19.7585,5,4,3,3.5,,5
4000000,v002,4000003,0,1.3172,45.55,19.7585,5,4.5,3,4.5,4.5,5
4000000,v003,4000003,0,1.3172,45.55,19.7585,5,4.5,3,4.5,4.5,5
4000000,v001,4000004,0,0.9674,62.02,20.316,5,4,3,3.5,,5
4000000,v002,4000004,0,0.9674,62.02,20.316,5,4.5,3,4.5,4.5,5
4000000,v003,4000004,0,0.9674,62.02,20.316,5,4.5,3,4.5,4.5,5
4000000,v001,4000005,0,0.9407,63.78,19.7554,5,4,3,3.5,,5
4000000,v002,4000005,0,0.9407,63.78,19.7554,5,4.5,3,4.5,4.5,5
4000000,v003,4000005,0,0.9407,63.78,19.7554,5,4.5,3,4.5,4.5,5
4000000,v001,4000006,0,0.9446,63.52,19.8363,5,4,3,3.5,,5
4000000,v002,4000006,0,0.9446,63.52,19.8363,5,4.5,3,4.5,4.5,5
4000000,v003,4000006,0,0.9446,63.52,19.8363,5,4.5,3,4.5,4.5,5
4000000,v001,4000007,0,0.9375,64,20.625,5,4,3,3.5,,5
4000000,v002,4000007,0,0.9375,64,20.625,5,4.5,3,4.5,4.5,5
4000000,v003,4000007,0,0.9375,64,20.625,5,4.5,3,4.5,4.5,5
4000000,v001,4000008,0,0.935,64.17,20.5704,5,4,3,3.5,,5
4000000,v002,4000008,0,0.935,64.17,20.5704,5,4.5,3,4.5,4.5,5
4000000,v003,4000008,0,0.935,64.17,20.5704,5,4.5,3,4.5,4.5,5
4000000,v001,4000009,0,2.2875,26.23,20.5871,5,4,3,3.5,,5
4000000,v002,4000009,0,2.2875,26.23,20.5871,5,4.5,3,4.5,4.5,5
4000000,v003,4000009,0,2.2875,26.23,20.5871,5,4.5,3,4.5,4.5,5
4000000,v001,4000010,0,2.2796,26.32,20.5167,5,4,3,3.5,,5
4000000,v002,4000010,0,2.2796,26.32,20.5167,5,4.5,3,4.5,4.5,5
4000000,v003,4000010,0,2.2796,26.32,20.5167,5,4.5,3,4.5,4.5,5
4000000,v001,4000011,0,2.1898,27.4,19.708,5,4,3,3.5,,5
4000000,v002,4000011,0,2.1898,27.4,19.708,5,4.5,3,4.5,4.5,5
4000000,v003,4000011,0,2.1898,27.4,19.708,5,4.5,3,4.5,4.5,5
4000000,v001,4000012,0,1.3333,45,20,5,4,3,3.5,,5
4000000,v002,4000012,0,1.3333,45,20,5,4.5,3,4.5,4.5,5
4000000,v003,4000012,0,1.3333,45,20,5,4.5,3,4.5,4.5,5
4000000,v001,4000013,0,2.2413,26.77,20.1718,5,4,3,3.5,,5
4000000,v002,4000013,0,2.2413,26.77,20.1718,5,4.5,3,4.5,4.5,5
4000000,v003,4000013,0,2.2413,26.77,20.1718,5,4.5,3,4.5,4.5,5
4000000,v001,4000014,0,6.3291,9.48,18.9873,5,4,3,3.5,,5
4000000,v002,4000014,0,6.3291,9.48,18.9873,5,4.5,3,4.5,4.5,5
4000000,v003,4000014,0,6.3291,9.48,18.9873,5,4.5,3,4.5,4.5,5
4000000,v001,4000015,0,2.1938,27.35,19.7441,5,4,3,3.5,,5
4000000,v002,4000015,0,2.1938,27.35,19.7441,5,4.5,3,4.5,4.5,5
4000000,v003,4000015,0,2.1938,27.35,19.7441,5,4.5,3,4.5,4.5,5
4000000,v001,4000016,0,5.988,10.02,23.9521,5,4,3,3.5,,5
